Core Temperatures (avg) [°C],CPU Core [°C],CPU Package Power [W],Total CPU Utility [%],GPU Temperature [°C],GPU Hot Spot Temperature [°C],GPU Power [W],GPU Utilization [%],GPU Memory Usage [%],Physical Memory Load [%],Virtual Memory Load [%],Charge Level [%],Wear Level [%],GPU Bus Load [%],Framerate Displayed (avg) [FPS],Frame Time Presented (avg) [ms]
41.2,42.2,5.343,2.6,42.1,46.2,18.162,0,18.6,29.7,41.3,97,9,0,10.9,91.51
41.4,42.7,6.785,3.9,42.1,46.1,19.672,0,18.9,29.7,41.3,97,9,0,14.5,66.67
41.5,42.8,6.607,4.7,42.1,46.4,16.55,0,18.3,29.7,41.1,97,9,0,29.9,33.91
41.8,43.4,7.71,5.8,42.1,46.1,15.888,0,17.5,29.2,40.4,97,9,0,26.7,37.91
43.0,46.3,10.209,6.4,42.2,46.0,16.74,0,17.1,29.2,40.4,97,9,0,44.4,22.58
42.5,44.9,9.277,6.8,42.6,46.2,16.974,0,17.2,29.2,40.4,97,9,0,49.1,20.59
41.9,43.3,8.113,6.0,42.4,46.2,17.856,0,18.3,29.3,40.8,97,9,0,75.8,13.33
46.1,54.1,20.648,15.4,42.4,47.9,28.58,0,15.5,29.6,41.0,97,9,0,126.5,7.83
49.6,61.3,27.536,16.8,44.0,48.8,38.138,0,14.8,29.5,40.4,97,9,0,151.2,3.11
42.8,43.8,7.925,3.9,45.8,47.1,21.099,0,14.4,29.5,40.2,97,9,0,151.2,3.11
42.3,43.4,7.424,3.4,43.4,47.1,18.518,0,14.3,29.5,40.1,97,9,0,28.5,34.89
42.5,43.6,7.848,4.8,43.1,47.0,18.182,0,14.0,29.3,39.8,97,9,0,25.8,38.62
42.1,43.2,7.201,3.1,43.0,47.0,18.336,0,14.0,29.3,39.7,97,9,0,24.8,40.29
42.7,44.1,9.312,6.4,42.9,47.1,19.211,0,14.5,29.3,40.1,97,9,1,47.1,21.34
42.3,43.6,7.952,4.7,43.0,46.8,18.226,0,15.0,29.3,40.1,97,9,0,34.8,18.97
42.0,43.1,6.543,2.9,42.9,46.7,15.881,0,15.0,29.3,40.0,97,9,0,34.8,18.97
41.7,42.8,6.159,2.5,42.8,46.8,15.814,0,14.9,29.3,40.0,97,9,0,34.8,18.97
41.6,42.7,5.966,2.4,42.7,46.6,15.857,0,14.9,29.3,40.0,97,9,0,9.0,28.4
42.8,44.3,10.68,6.0,42.6,46.5,15.9,0,14.9,29.3,40.0,97,9,0,9.0,28.4
42.5,43.4,8.806,4.3,42.8,46.6,15.717,0,14.9,29.3,40.0,97,9,0,9.0,28.4
42.0,43.2,7.149,3.4,42.9,46.4,15.578,0,14.9,29.3,40.0,97,9,0,20.6,41.99
42.8,44.4,10.141,8.2,42.7,48.2,27.579,0,15.8,29.4,40.4,97,9,0,31.0,32.06
42.2,43.3,8.489,4.2,43.0,47.5,30.76,0,15.0,29.4,40.3,97,9,0,33.8,29.4
45.2,49.9,15.934,11.2,42.9,47.1,22.916,0,14.9,29.4,40.2,97,9,0,96.2,6.16
42.3,43.4,7.542,3.4,44.1,46.9,18.884,0,14.9,29.3,40.0,97,9,0,160.7,5.48
42.6,43.8,8.256,4.7,43.0,47.2,18.471,0,14.9,29.3,40.0,97,9,0,160.7,5.48
42.3,43.5,7.483,3.7,43.1,46.9,18.01,0,14.9,29.3,39.9,97,9,0,42.4,23.7
43.3,45.1,10.301,9.3,43.0,46.8,18.184,0,16.8,29.3,40.5,97,9,1,55.5,18.15
42.4,43.6,7.657,4.5,43.2,46.9,16.316,0,16.5,29.3,40.4,97,9,1,32.7,30.91
43.4,46.1,10.195,6.3,42.9,46.8,16.562,0,16.2,29.3,40.3,97,9,0,33.0,30.51
42.8,44.8,8.107,5.6,43.2,46.9,16.591,0,16.2,29.3,40.2,97,9,0,37.5,26.93
42.1,43.3,6.106,3.6,43.0,46.8,15.646,0,16.2,29.3,40.3,97,9,0,27.2,37.13
42.1,43.6,6.978,4.1,42.8,46.6,15.9,0,16.2,29.3,40.2,97,9,0,19.4,52.43
42.1,43.4,6.555,3.8,42.7,46.8,15.947,0,16.2,29.3,40.2,97,9,0,22.1,45.87
45.5,49.2,17.256,13.4,42.7,48.2,21.134,0,17.0,29.7,40.9,97,9,0,90.3,11.15
43.2,44.9,10.029,7.5,43.8,48.4,34.944,0,17.4,29.7,41.0,97,9,0,48.3,17.58
42.5,43.9,7.755,4.8,43.4,47.3,21.832,0,18.4,29.8,41.3,97,9,0,28.3,33.98
42.0,43.5,5.66,3.0,43.1,47.0,18.007,0,17.9,29.7,41.2,97,9,0,19.4,51.95
42.4,44.9,6.755,3.4,42.8,47.0,16.216,0,16.3,29.7,41.2,97,9,0,14.9,51.49
41.9,43.7,6.384,3.6,42.8,46.8,17.036,0,16.3,29.6,40.7,97,9,0,8.1,124.73
43.6,46.6,11.625,7.6,42.6,46.9,19.33,0,16.9,29.8,41.0,97,9,6,20.2,50.11
41.9,43.0,5.142,2.7,43.2,46.9,17.115,0,16.5,29.8,40.8,97,9,0,13.2,77.13
42.2,43.5,7.202,4.3,42.8,46.7,19.935,0,16.7,29.8,40.9,97,9,0,19.5,45.58
41.5,42.7,4.782,2.5,42.8,46.6,17.507,0,16.7,29.8,40.9,97,9,0,12.2,82.79
42.2,43.6,8.163,5.1,42.5,46.9,19.434,0,16.5,29.7,40.8,97,9,1,28.6,35.06
41.9,43.1,6.007,3.3,42.8,46.7,18.827,0,16.5,29.7,40.8,97,9,0,20.4,41.79
41.5,42.6,4.759,2.5,42.6,46.5,16.542,0,16.5,29.7,40.8,97,9,0,20.5,49.08
41.4,42.4,4.622,2.4,42.4,46.5,15.752,0,16.5,29.7,40.7,97,9,0,9.2,69.38
41.9,43.2,7.478,5.7,42.3,46.4,16.446,0,16.3,29.9,41.0,97,9,0,8.0,121.41
42.1,43.4,8.497,5.5,42.5,46.6,19.236,0,16.3,29.9,40.9,97,9,0,11.7,86.94
43.4,45.8,11.755,8.4,42.6,46.5,17.317,0,16.1,30.0,40.9,97,9,0,24.2,30.68
49.9,58.6,29.104,26.9,43.0,46.7,20.832,0,16.6,29.8,40.8,97,9,1,110.9,8.96
49.7,57.6,25.879,18.8,45.2,46.9,18.425,0,15.7,29.9,41.0,97,9,0,159.9,5.53
52.2,67.1,31.892,23.0,45.5,47.3,21.089,0,16.0,29.8,40.9,97,9,1,152.3,5.74
51.5,62.2,28.512,21.3,47.0,47.4,21.22,0,15.4,29.6,40.8,97,9,0,152.3,5.74
47.5,54.3,19.69,11.6,46.4,47.5,18.341,0,15.0,29.7,40.4,97,9,0,34.6,28.7
48.9,55.6,23.365,15.4,45.3,47.5,18.235,0,14.9,29.7,40.4,97,9,0,27.9,35.77
49.6,57.9,24.167,18.0,45.6,47.8,18.322,0,15.4,29.7,40.5,97,9,1,155.0,6.09
54.0,66.3,33.663,25.4,46.4,48.1,21.342,0,14.9,29.8,40.5,97,9,1,155.0,6.09
58.7,68.9,43.904,50.3,47.7,49.8,21.971,0,15.5,30.0,40.8,97,9,0,116.8,8.6
55.1,64.7,33.356,30.9,49.3,50.7,39.362,0,15.8,30.0,41.0,97,9,0,153.3,3.04
55.8,65.9,35.975,31.9,48.3,50.4,21.197,0,15.1,30.0,41.3,97,9,0,114.9,8.65
55.0,63.7,32.747,27.4,48.7,51.5,38.919,0,15.2,30.1,41.3,97,9,0,97.9,9.7
51.7,60.7,25.307,18.4,49.0,50.2,23.022,0,15.2,30.1,41.1,97,9,1,96.0,4.49
55.8,67.5,34.205,25.8,48.0,50.0,20.948,0,15.1,30.1,41.1,97,9,1,96.0,4.49
53.6,62.2,28.043,23.3,49.3,49.8,19.87,0,15.2,30.0,41.0,97,9,0,156.6,3.43
56.1,67.3,34.718,26.8,48.3,50.0,21.318,0,15.1,30.0,41.0,97,9,1,156.6,3.43
55.9,69.4,33.618,24.2,49.5,50.0,20.746,0,15.1,30.1,41.0,97,9,1,123.3,8.04
55.7,69.3,32.829,22.7,50.2,50.1,20.709,0,15.1,30.0,41.0,97,9,1,123.2,8.05
56.0,68.3,33.599,24.3,50.5,50.2,20.988,0,15.0,30.0,41.0,97,9,1,122.7,8.08
